Shapes:
Python: (3, 3, 21, 501)
MATLAB: (3, 3, 21, 501)
✅ Match [2, 2, 0, 0]: Python=0.004697262886346188, MATLAB=0.004697262863179563
✅ Match [2, 2, 0, 1]: Python=0.006505987847486928, MATLAB=0.006505987833433972
✅ Match [2, 2, 0, 2]: Python=0.012478749980051988, MATLAB=0.01247874997919435
✅ Match [2, 2, 0, 3]: Python=0.01905846887777224, MATLAB=0.019058468902095917
✅ Match [2, 2, 0, 4]: Python=0.021341178744143763, MATLAB=0.021341178769962412
✅ Match [2, 2, 0, 5]: Python=0.019853476674616306, MATLAB=0.019853476693324303
✅ Match [2, 2, 0, 6]: Python=0.003405822766187586, MATLAB=0.00340582276619127
✅ Match [2, 2, 0, 7]: Python=0.002944582956558576, MATLAB=0.0029445829536499045
✅ Match [2, 2, 0, 8]: Python=0.009518548611040591, MATLAB=0.00951854859344707
✅ Match [2, 2, 0, 9]: Python=0.02873201757860867, MATLAB=0.02873201754696059
✅ Match [2, 2, 0, 10]: Python=0.03136405821016059, MATLAB=0.03136405817997123
✅ Match [2, 2, 0, 11]: Python=0.009207075595676642, MATLAB=0.009207075577730291
✅ Match [2, 2, 0, 12]: Python=0.013409214534429052, MATLAB=0.01340921454039432
✅ Match [2, 2, 0, 13]: Python=0.008428935039134835, MATLAB=0.008428935052873487
✅ Match [2, 2, 0, 14]: Python=0.002274912022881343, MATLAB=0.0022749120273642715
✅ Match [2, 2, 0, 15]: Python=0.0020513877062532807, MATLAB=0.0020513876918081993
✅ Match [2, 2, 0, 16]: Python=0.0269501372012808, MATLAB=0.026950137120236535
✅ Match [2, 2, 0, 17]: Python=0.054883688465732786, MATLAB=0.05488368833999507
✅ Match [2, 2, 0, 18]: Python=0.02817395636346779, MATLAB=0.0281739563087882
✅ Match [2, 2, 0, 19]: Python=0.002422976161952268, MATLAB=0.002422976170573407
✅ Match [2, 2, 0, 20]: Python=0.011394955297444642, MATLAB=0.011394955315842111
✅ Match [2, 2, 0, 21]: Python=0.010345048474962815, MATLAB=0.010345048498475506
✅ Match [2, 2, 0, 22]: Python=0.028749295188584573, MATLAB=0.02874929521597107
✅ Match [2, 2, 0, 23]: Python=0.043634439259729825, MATLAB=0.043634439270415465
✅ Match [2, 2, 0, 24]: Python=0.038144983898579635, MATLAB=0.03814498390775157
✅ Match [2, 2, 0, 25]: Python=0.06087030008520205, MATLAB=0.06087030011835787
✅ Match [2, 2, 0, 26]: Python=0.07597928375667395, MATLAB=0.07597928380643958
✅ Match [2, 2, 0, 27]: Python=0.05205283812659753, MATLAB=0.052052838152371515
✅ Match [2, 2, 0, 28]: Python=0.02915790133168059, MATLAB=0.029157901335980774
✅ Match [2, 2, 0, 29]: Python=0.014520528574127915, MATLAB=0.014520528567527438
✅ Match [2, 2, 0, 30]: Python=0.0023032623994166, MATLAB=0.002303262391051784
✅ Match [2, 2, 0, 31]: Python=0.0002444685498920217, MATLAB=0.00024446854912213255
✅ Match [2, 2, 0, 32]: Python=0.0011767971102774437, MATLAB=0.0011767971074330965
✅ Match [2, 2, 0, 33]: Python=0.006482435910291371, MATLAB=0.006482435917738126
✅ Match [2, 2, 0, 34]: Python=0.0047922352299066455, MATLAB=0.004792235244421781
✅ Match [2, 2, 0, 35]: Python=0.008466519178105831, MATLAB=0.008466519197925994
✅ Match [2, 2, 0, 36]: Python=0.02667235649500302, MATLAB=0.026672356515785773
✅ Match [2, 2, 0, 37]: Python=0.027374041222376494, MATLAB=0.02737404123247271
✅ Match [2, 2, 0, 38]: Python=0.01646606772799341, MATLAB=0.01646606773197639
✅ Match [2, 2, 0, 39]: Python=0.005636677797397505, MATLAB=0.005636677804821331
✅ Match [2, 2, 0, 40]: Python=0.021000385756349736, MATLAB=0.02100038575631256
✅ Match [2, 2, 0, 41]: Python=0.03807936974608321, MATLAB=0.038079369740235555
✅ Match [2, 2, 0, 42]: Python=0.03362579751680797, MATLAB=0.033625797527673404
✅ Match [2, 2, 0, 43]: Python=0.020669288016003783, MATLAB=0.02066928803119772
✅ Match [2, 2, 0, 44]: Python=0.011717208992103174, MATLAB=0.011717209014389291
✅ Match [2, 2, 0, 45]: Python=0.004042252112317822, MATLAB=0.004042252134943132
✅ Match [2, 2, 0, 46]: Python=0.00030151420287117457, MATLAB=0.0003015142017339356
✅ Match [2, 2, 0, 47]: Python=0.0015235528100520056, MATLAB=0.0015235528132956887
✅ Match [2, 2, 0, 48]: Python=0.01875728820395421, MATLAB=0.018757288175130768
✅ Match [2, 2, 0, 49]: Python=0.03313624817649418, MATLAB=0.033136248102091766
